source,target,weight,kind
CommitteeTeamAgent,ContrarianAgent,1.0,friendship
ContrarianAgent,CommitteeTeamAgent,1.0,friendship
CommitteeTeamAgent,DrawdownBuyerAgent,1.0,friendship
DrawdownBuyerAgent,CommitteeTeamAgent,1.0,friendship
CommitteeTeamAgent,DynamicTeamAgent,1.0,friendship
DynamicTeamAgent,CommitteeTeamAgent,1.0,friendship
CommitteeTeamAgent,FreeRiderAgent,1.0,friendship
FreeRiderAgent,CommitteeTeamAgent,1.0,friendship
CommitteeTeamAgent,LowVolatilityAgent,1.0,friendship
LowVolatilityAgent,CommitteeTeamAgent,1.0,friendship
CommitteeTeamAgent,MeanReversionAgent,1.0,friendship
MeanReversionAgent,CommitteeTeamAgent,1.0,friendship
CommitteeTeamAgent,MomentumAgent,1.0,friendship
MomentumAgent,CommitteeTeamAgent,1.0,friendship
CommitteeTeamAgent,PersuaderAgent,1.0,friendship
PersuaderAgent,CommitteeTeamAgent,1.0,friendship
CommitteeTeamAgent,RandomAgent,1.0,friendship
RandomAgent,CommitteeTeamAgent,1.0,friendship
CommitteeTeamAgent,SocialGraphAgent,1.0,friendship
SocialGraphAgent,CommitteeTeamAgent,1.0,friendship
CommitteeTeamAgent,TruthfulReporterAgent,1.0,friendship
TruthfulReporterAgent,CommitteeTeamAgent,1.0,friendship
ContrarianAgent,DrawdownBuyerAgent,1.0,friendship
DrawdownBuyerAgent,ContrarianAgent,1.0,friendship
ContrarianAgent,DynamicTeamAgent,1.0,friendship
DynamicTeamAgent,ContrarianAgent,1.0,friendship
ContrarianAgent,FreeRiderAgent,1.0,friendship
FreeRiderAgent,ContrarianAgent,1.0,friendship
ContrarianAgent,LowVolatilityAgent,1.0,friendship
LowVolatilityAgent,ContrarianAgent,1.0,friendship
ContrarianAgent,MeanReversionAgent,1.0,friendship
MeanReversionAgent,ContrarianAgent,1.0,friendship
ContrarianAgent,MomentumAgent,1.0,friendship
MomentumAgent,ContrarianAgent,1.0,friendship
ContrarianAgent,PersuaderAgent,1.0,friendship
PersuaderAgent,ContrarianAgent,1.0,friendship
ContrarianAgent,RandomAgent,1.0,friendship
RandomAgent,ContrarianAgent,1.0,friendship
ContrarianAgent,SocialGraphAgent,1.0,friendship
SocialGraphAgent,ContrarianAgent,1.0,friendship
ContrarianAgent,TruthfulReporterAgent,1.0,friendship
TruthfulReporterAgent,ContrarianAgent,1.0,friendship
DrawdownBuyerAgent,DynamicTeamAgent,1.0,friendship
DynamicTeamAgent,DrawdownBuyerAgent,1.0,friendship
DrawdownBuyerAgent,FreeRiderAgent,1.0,friendship
FreeRiderAgent,DrawdownBuyerAgent,1.0,friendship
DrawdownBuyerAgent,LowVolatilityAgent,1.0,friendship
LowVolatilityAgent,DrawdownBuyerAgent,1.0,friendship
DrawdownBuyerAgent,MeanReversionAgent,1.0,friendship
MeanReversionAgent,DrawdownBuyerAgent,1.0,friendship
DrawdownBuyerAgent,MomentumAgent,1.0,friendship
MomentumAgent,DrawdownBuyerAgent,1.0,friendship
DrawdownBuyerAgent,PersuaderAgent,1.0,friendship
PersuaderAgent,DrawdownBuyerAgent,1.0,friendship
DrawdownBuyerAgent,RandomAgent,1.0,friendship
RandomAgent,DrawdownBuyerAgent,1.0,friendship
DrawdownBuyerAgent,SocialGraphAgent,1.0,friendship
SocialGraphAgent,DrawdownBuyerAgent,1.0,friendship
DrawdownBuyerAgent,TruthfulReporterAgent,1.0,friendship
TruthfulReporterAgent,DrawdownBuyerAgent,1.0,friendship
DynamicTeamAgent,FreeRiderAgent,1.0,friendship
FreeRiderAgent,DynamicTeamAgent,1.0,friendship
DynamicTeamAgent,LowVolatilityAgent,1.0,friendship
LowVolatilityAgent,DynamicTeamAgent,1.0,friendship
DynamicTeamAgent,MeanReversionAgent,1.0,friendship
MeanReversionAgent,DynamicTeamAgent,1.0,friendship
DynamicTeamAgent,MomentumAgent,1.0,friendship
MomentumAgent,DynamicTeamAgent,1.0,friendship
DynamicTeamAgent,PersuaderAgent,1.0,friendship
PersuaderAgent,DynamicTeamAgent,1.0,friendship
DynamicTeamAgent,RandomAgent,1.0,friendship
RandomAgent,DynamicTeamAgent,1.0,friendship
DynamicTeamAgent,SocialGraphAgent,1.0,friendship
SocialGraphAgent,DynamicTeamAgent,1.0,friendship
DynamicTeamAgent,TruthfulReporterAgent,1.0,friendship
TruthfulReporterAgent,DynamicTeamAgent,1.0,friendship
FreeRiderAgent,LowVolatilityAgent,1.0,friendship
LowVolatilityAgent,FreeRiderAgent,1.0,friendship
FreeRiderAgent,MeanReversionAgent,1.0,friendship
MeanReversionAgent,FreeRiderAgent,1.0,friendship
FreeRiderAgent,MomentumAgent,1.0,friendship
MomentumAgent,FreeRiderAgent,1.0,friendship
FreeRiderAgent,PersuaderAgent,1.0,friendship
PersuaderAgent,FreeRiderAgent,1.0,friendship
FreeRiderAgent,RandomAgent,1.0,friendship
RandomAgent,FreeRiderAgent,1.0,friendship
FreeRiderAgent,SocialGraphAgent,1.0,friendship
SocialGraphAgent,FreeRiderAgent,1.0,friendship
FreeRiderAgent,TruthfulReporterAgent,1.0,friendship
TruthfulReporterAgent,FreeRiderAgent,1.0,friendship
LowVolatilityAgent,MeanReversionAgent,1.0,friendship
MeanReversionAgent,LowVolatilityAgent,1.0,friendship
LowVolatilityAgent,MomentumAgent,1.0,friendship
MomentumAgent,LowVolatilityAgent,1.0,friendship
LowVolatilityAgent,PersuaderAgent,1.0,friendship
PersuaderAgent,LowVolatilityAgent,1.0,friendship
LowVolatilityAgent,RandomAgent,1.0,friendship
RandomAgent,LowVolatilityAgent,1.0,friendship
LowVolatilityAgent,SocialGraphAgent,1.0,friendship
SocialGraphAgent,LowVolatilityAgent,1.0,friendship
LowVolatilityAgent,TruthfulReporterAgent,1.0,friendship
TruthfulReporterAgent,LowVolatilityAgent,1.0,friendship
MeanReversionAgent,MomentumAgent,1.0,friendship
MomentumAgent,MeanReversionAgent,1.0,friendship
MeanReversionAgent,PersuaderAgent,1.0,friendship
PersuaderAgent,MeanReversionAgent,1.0,friendship
MeanReversionAgent,RandomAgent,1.0,friendship
RandomAgent,MeanReversionAgent,1.0,friendship
MeanReversionAgent,SocialGraphAgent,1.0,friendship
SocialGraphAgent,MeanReversionAgent,1.0,friendship
MeanReversionAgent,TruthfulReporterAgent,1.0,friendship
TruthfulReporterAgent,MeanReversionAgent,1.0,friendship
MomentumAgent,PersuaderAgent,1.0,friendship
PersuaderAgent,MomentumAgent,1.0,friendship
MomentumAgent,RandomAgent,1.0,friendship
RandomAgent,MomentumAgent,1.0,friendship
MomentumAgent,SocialGraphAgent,1.0,friendship
SocialGraphAgent,MomentumAgent,1.0,friendship
MomentumAgent,TruthfulReporterAgent,1.0,friendship
TruthfulReporterAgent,MomentumAgent,1.0,friendship
PersuaderAgent,RandomAgent,1.0,friendship
RandomAgent,PersuaderAgent,1.0,friendship
PersuaderAgent,SocialGraphAgent,1.0,friendship
SocialGraphAgent,PersuaderAgent,1.0,friendship
PersuaderAgent,TruthfulReporterAgent,1.0,friendship
TruthfulReporterAgent,PersuaderAgent,1.0,friendship
RandomAgent,SocialGraphAgent,1.0,friendship
SocialGraphAgent,RandomAgent,1.0,friendship
RandomAgent,TruthfulReporterAgent,1.0,friendship
TruthfulReporterAgent,RandomAgent,1.0,friendship
SocialGraphAgent,TruthfulReporterAgent,1.0,friendship
TruthfulReporterAgent,SocialGraphAgent,1.0,friendship
CommitteeTeamAgent,LowVolatilityAgent,5.0,influence
ContrarianAgent,SocialGraphAgent,5.0,influence
DynamicTeamAgent,SocialGraphAgent,5.0,influence
SocialGraphAgent,CommitteeTeamAgent,5.0,influence
TruthfulReporterAgent,DynamicTeamAgent,5.0,influence
MomentumAgent,MeanReversionAgent,5.0,influence
MomentumAgent,LowVolatilityAgent,5.0,influence
MomentumAgent,DrawdownBuyerAgent,5.0,influence
MomentumAgent,RandomAgent,5.0,influence
MomentumAgent,TruthfulReporterAgent,5.0,influence
MomentumAgent,PersuaderAgent,5.0,influence
MomentumAgent,FreeRiderAgent,5.0,influence
MomentumAgent,ContrarianAgent,5.0,influence
MomentumAgent,CommitteeTeamAgent,5.0,influence
MomentumAgent,DynamicTeamAgent,5.0,influence
MomentumAgent,SocialGraphAgent,5.0,influence
MeanReversionAgent,MomentumAgent,5.0,influence
MeanReversionAgent,LowVolatilityAgent,5.0,influence
MeanReversionAgent,DrawdownBuyerAgent,5.0,influence
MeanReversionAgent,RandomAgent,5.0,influence
MeanReversionAgent,TruthfulReporterAgent,5.0,influence
MeanReversionAgent,PersuaderAgent,5.0,influence
MeanReversionAgent,FreeRiderAgent,5.0,influence
MeanReversionAgent,ContrarianAgent,5.0,influence
MeanReversionAgent,CommitteeTeamAgent,5.0,influence
MeanReversionAgent,DynamicTeamAgent,5.0,influence
MeanReversionAgent,SocialGraphAgent,5.0,influence
LowVolatilityAgent,MomentumAgent,5.0,influence
LowVolatilityAgent,MeanReversionAgent,5.0,influence
LowVolatilityAgent,DrawdownBuyerAgent,5.0,influence
LowVolatilityAgent,RandomAgent,5.0,influence
LowVolatilityAgent,TruthfulReporterAgent,5.0,influence
LowVolatilityAgent,PersuaderAgent,5.0,influence
LowVolatilityAgent,FreeRiderAgent,5.0,influence
LowVolatilityAgent,ContrarianAgent,5.0,influence
LowVolatilityAgent,CommitteeTeamAgent,5.0,influence
LowVolatilityAgent,DynamicTeamAgent,5.0,influence
LowVolatilityAgent,SocialGraphAgent,5.0,influence
DrawdownBuyerAgent,MomentumAgent,5.0,influence
DrawdownBuyerAgent,MeanReversionAgent,5.0,influence
DrawdownBuyerAgent,LowVolatilityAgent,5.0,influence
DrawdownBuyerAgent,RandomAgent,5.0,influence
DrawdownBuyerAgent,TruthfulReporterAgent,5.0,influence
DrawdownBuyerAgent,PersuaderAgent,5.0,influence
DrawdownBuyerAgent,FreeRiderAgent,5.0,influence
DrawdownBuyerAgent,ContrarianAgent,5.0,influence
DrawdownBuyerAgent,CommitteeTeamAgent,5.0,influence
DrawdownBuyerAgent,DynamicTeamAgent,5.0,influence
DrawdownBuyerAgent,SocialGraphAgent,5.0,influence
RandomAgent,MomentumAgent,5.0,influence
RandomAgent,MeanReversionAgent,5.0,influence
RandomAgent,LowVolatilityAgent,5.0,influence
RandomAgent,DrawdownBuyerAgent,5.0,influence
RandomAgent,TruthfulReporterAgent,5.0,influence
RandomAgent,PersuaderAgent,5.0,influence
RandomAgent,FreeRiderAgent,5.0,influence
RandomAgent,ContrarianAgent,5.0,influence
RandomAgent,CommitteeTeamAgent,5.0,influence
RandomAgent,DynamicTeamAgent,5.0,influence
RandomAgent,SocialGraphAgent,5.0,influence
TruthfulReporterAgent,MomentumAgent,5.0,influence
TruthfulReporterAgent,MeanReversionAgent,5.0,influence
TruthfulReporterAgent,LowVolatilityAgent,5.0,influence
TruthfulReporterAgent,DrawdownBuyerAgent,5.0,influence
TruthfulReporterAgent,RandomAgent,5.0,influence
TruthfulReporterAgent,PersuaderAgent,5.0,influence
TruthfulReporterAgent,FreeRiderAgent,5.0,influence
TruthfulReporterAgent,ContrarianAgent,5.0,influence
TruthfulReporterAgent,CommitteeTeamAgent,5.0,influence
TruthfulReporterAgent,SocialGraphAgent,5.0,influence
PersuaderAgent,MomentumAgent,5.0,influence
PersuaderAgent,MeanReversionAgent,5.0,influence
PersuaderAgent,LowVolatilityAgent,5.0,influence
PersuaderAgent,DrawdownBuyerAgent,5.0,influence
PersuaderAgent,RandomAgent,5.0,influence
PersuaderAgent,TruthfulReporterAgent,5.0,influence
PersuaderAgent,FreeRiderAgent,5.0,influence
PersuaderAgent,ContrarianAgent,5.0,influence
PersuaderAgent,CommitteeTeamAgent,5.0,influence
PersuaderAgent,DynamicTeamAgent,5.0,influence
PersuaderAgent,SocialGraphAgent,5.0,influence
FreeRiderAgent,MomentumAgent,5.0,influence
FreeRiderAgent,MeanReversionAgent,5.0,influence
FreeRiderAgent,LowVolatilityAgent,5.0,influence
FreeRiderAgent,DrawdownBuyerAgent,5.0,influence
FreeRiderAgent,RandomAgent,5.0,influence
FreeRiderAgent,TruthfulReporterAgent,5.0,influence
FreeRiderAgent,PersuaderAgent,5.0,influence
FreeRiderAgent,ContrarianAgent,5.0,influence
FreeRiderAgent,CommitteeTeamAgent,5.0,influence
FreeRiderAgent,DynamicTeamAgent,5.0,influence
FreeRiderAgent,SocialGraphAgent,5.0,influence
ContrarianAgent,MomentumAgent,5.0,influence
ContrarianAgent,MeanReversionAgent,5.0,influence
ContrarianAgent,LowVolatilityAgent,5.0,influence
ContrarianAgent,DrawdownBuyerAgent,5.0,influence
ContrarianAgent,RandomAgent,5.0,influence
ContrarianAgent,TruthfulReporterAgent,5.0,influence
ContrarianAgent,PersuaderAgent,5.0,influence
ContrarianAgent,FreeRiderAgent,5.0,influence
ContrarianAgent,CommitteeTeamAgent,5.0,influence
ContrarianAgent,DynamicTeamAgent,5.0,influence
CommitteeTeamAgent,MomentumAgent,5.0,influence
CommitteeTeamAgent,MeanReversionAgent,5.0,influence
CommitteeTeamAgent,DrawdownBuyerAgent,5.0,influence
CommitteeTeamAgent,RandomAgent,5.0,influence
CommitteeTeamAgent,TruthfulReporterAgent,5.0,influence
CommitteeTeamAgent,PersuaderAgent,5.0,influence
CommitteeTeamAgent,FreeRiderAgent,5.0,influence
CommitteeTeamAgent,ContrarianAgent,5.0,influence
CommitteeTeamAgent,DynamicTeamAgent,5.0,influence
CommitteeTeamAgent,SocialGraphAgent,5.0,influence
DynamicTeamAgent,MomentumAgent,5.0,influence
DynamicTeamAgent,MeanReversionAgent,5.0,influence
DynamicTeamAgent,LowVolatilityAgent,5.0,influence
DynamicTeamAgent,DrawdownBuyerAgent,5.0,influence
DynamicTeamAgent,RandomAgent,5.0,influence
DynamicTeamAgent,TruthfulReporterAgent,5.0,influence
DynamicTeamAgent,PersuaderAgent,5.0,influence
DynamicTeamAgent,FreeRiderAgent,5.0,influence
DynamicTeamAgent,ContrarianAgent,5.0,influence
DynamicTeamAgent,CommitteeTeamAgent,5.0,influence
SocialGraphAgent,MomentumAgent,5.0,influence
SocialGraphAgent,MeanReversionAgent,5.0,influence
SocialGraphAgent,LowVolatilityAgent,5.0,influence
SocialGraphAgent,DrawdownBuyerAgent,5.0,influence
SocialGraphAgent,RandomAgent,5.0,influence
SocialGraphAgent,TruthfulReporterAgent,5.0,influence
SocialGraphAgent,PersuaderAgent,5.0,influence
SocialGraphAgent,FreeRiderAgent,5.0,influence
SocialGraphAgent,ContrarianAgent,5.0,influence
SocialGraphAgent,DynamicTeamAgent,5.0,influence
